abundance	growth_rate	reactions	metabolites	taxon	tradeoff	sample_id
0.4718358640472424	0.0	1525	1133	pelagibacter	0.5	2015_Central_16
0.25672068447819635	0.0	1932	1313	polaribacter	0.5	2015_Central_16
0.041637644276039706	0.0	992	800	prochlorococcus	0.5	2015_Central_16
0.11639111689078922	0.0	2165	1473	roseobacter	0.5	2015_Central_16
0.11341469030773232	0.0	830	764	synechococcus	0.5	2015_Central_16
0.44723142460869614	0.0	1525	1133	pelagibacter	0.5	2015_North_9
0.22030288682456775	0.0	1932	1313	polaribacter	0.5	2015_North_9
0.07643161381188651	0.0	992	800	prochlorococcus	0.5	2015_North_9
0.10009465215196493	0.0	2165	1473	roseobacter	0.5	2015_North_9
0.15593942260288474	0.0	830	764	synechococcus	0.5	2015_North_9
0.5294290406489327	0.0	1525	1133	pelagibacter	0.5	2015_North_11
0.22485408065956852	0.0	1932	1313	polaribacter	0.5	2015_North_11
0.07771472964770161	0.0	992	800	prochlorococcus	0.5	2015_North_11
0.08607635068937781	0.0	2165	1473	roseobacter	0.5	2015_North_11
0.08192579835441942	0.0	830	764	synechococcus	0.5	2015_North_11
0.4780181437396978	0.0	1525	1133	pelagibacter	0.5	2015_West_4
0.24459176551278045	0.0	1932	1313	polaribacter	0.5	2015_West_4
0.026168876490176508	0.0	992	800	prochlorococcus	0.5	2015_West_4
0.10537334262074523	0.0	2165	1473	roseobacter	0.5	2015_West_4
0.14584787163660012	0.0	830	764	synechococcus	0.5	2015_West_4
0.4287808453220901	0.0	1525	1133	pelagibacter	0.5	2015_East_24
0.22868311757339546	0.0	1932	1313	polaribacter	0.5	2015_East_24
0.08893232347800462	0.0	992	800	prochlorococcus	0.5	2015_East_24
0.09577327141736693	0.0	2165	1473	roseobacter	0.5	2015_East_24
0.15783044220914294	0.0	830	764	synechococcus	0.5	2015_East_24
0.469869243846193	0.0	1525	1133	pelagibacter	0.5	2015_North_12
0.2197271176949814	0.0	1932	1313	polaribacter	0.5	2015_North_12
0.08186469584959845	0.0	992	800	prochlorococcus	0.5	2015_North_12
0.08612848209040874	0.0	2165	1473	roseobacter	0.5	2015_North_12
0.14241046051881845	0.0	830	764	synechococcus	0.5	2015_North_12
0.4522376341198255	0.0	1525	1133	pelagibacter	0.5	2015_Central_20
0.18921748232440436	0.0	1932	1313	polaribacter	0.5	2015_Central_20
0.11018058099561655	0.0	992	800	prochlorococcus	0.5	2015_Central_20
