taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
polaribacter	2015_Central_16	1.1e-06	EX_stfrnA_e	-0.0042499487314230176	0.25672068447819635	stfrnA_e	import
polaribacter	2015_Central_16	1.1e-06	EX_o2_e	0.0022942561218885415	0.25672068447819635	o2_e	export
polaribacter	2015_Central_16	1.1e-06	EX_glu__L_e	0.004288190034561412	0.25672068447819635	L_Glutamate[e]	export
polaribacter	2015_Central_16	1.1e-06	EX_2m35mdntha_e	-0.2580639898508423	0.25672068447819635	2m35mdntha_e	import
polaribacter	2015_Central_16	1.1e-06	EX_enter_e	-0.00690139927438596	0.25672068447819635	enter_e	import
polaribacter	2015_Central_16	1.1e-06	EX_so3_e	-0.005175613060511106	0.25672068447819635	so3_e	import
polaribacter	2015_Central_16	1.1e-06	EX_ser__L_e	0.11681688653285792	0.25672068447819635	ser__L_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ca2_e	0.006893340589542631	0.25672068447819635	ca2_e	export
polaribacter	2015_Central_16	1.1e-06	EX_asp__L_e	0.6374750434626392	0.25672068447819635	L_Aspartate[e]	export
polaribacter	2015_Central_16	1.1e-06	EX_tsul_e	6.064426827030257e-06	0.25672068447819635	tsul_e	export
polaribacter	2015_Central_16	1.1e-06	EX_acnam_e	-0.0004985359449709463	0.25672068447819635	acnam_e	import
polaribacter	2015_Central_16	1.1e-06	EX_LalaDglu_e	-0.0019389653065172493	0.25672068447819635	LalaDglu_e	import
polaribacter	2015_Central_16	1.1e-06	EX_spmd_e	0.0010163354411802286	0.25672068447819635	spmd_e	export
polaribacter	2015_Central_16	1.1e-06	EX_serglugly_e	-0.12207875927626693	0.25672068447819635	serglugly_e	import
polaribacter	2015_Central_16	1.1e-06	EX_cl_e	0.0069783399726790485	0.25672068447819635	cl_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ala_leu_e	-1.1076468271088177e-05	0.25672068447819635	ala_leu_e	import
polaribacter	2015_Central_16	1.1e-06	EX_R_3httdca_e	0.006932801747054354	0.25672068447819635	R_3httdca_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ala_his_e	-0.001220959918268274	0.25672068447819635	ala_his_e	import
polaribacter	2015_Central_16	1.1e-06	EX_val__L_e	2.4257270307784096e-06	0.25672068447819635	val__L_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ser__D_e	-0.0024007312306748773	0.25672068447819635	ser__D_e	import
polaribacter	2015_Central_16	1.1e-06	EX_gly_asn__L_e	-0.003779958137880354	0.25672068447819635	gly_asn__L_e	import
polaribacter	2015_Central_16	1.1e-06	EX_LalaDgluMdapDala_e	2.1155778665860563	0.25672068447819635	LalaDgluMdapDala_e	export
polaribacter	2015_Central_16	1.1e-06	EX_istfrnA_e	9.049328562637844e-06	0.25672068447819635	istfrnA_e	export
polaribacter	2015_Central_16	1.1e-06	EX_gly_cys_e	-2.6366313888955566	0.25672068447819635	gly_cys_e	import
polaribacter	2015_Central_16	1.1e-06	EX_mal__L_e	0.004865125655806747	0.25672068447819635	mal__L_e	export
polaribacter	2015_Central_16	1.1e-06	EX_15dap_e	-0.388119209916525	0.25672068447819635	15dap_e	import
polaribacter	2015_Central_16	1.1e-06	EX_xtsn_e	-0.06653174946692417	0.25672068447819635	xtsn_e	import
polaribacter	2015_Central_16	1.1e-06	EX_glc__D_e	-0.23822699217337615	0.25672068447819635	glc__D_e	import
polaribacter	2015_Central_16	1.1e-06	EX_d23hb_e	-2.3266369055307896e-06	0.25672068447819635	d23hb_e	import
polaribacter	2015_Central_16	1.1e-06	EX_tcynt_e	0.0029556299425325355	0.25672068447819635	tcynt_e	export
polaribacter	2015_Central_16	1.1e-06	EX_for_e	-0.0031935657284463967	0.25672068447819635	for_e	import
polaribacter	2015_Central_16	1.1e-06	EX_dextrin_e	-0.0009384931696866212	0.25672068447819635	dextrin_e	import
polaribacter	2015_Central_16	1.1e-06	EX_skm_e	0.006895525214299452	0.25672068447819635	skm_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ala_gln_e	-0.14814454522083984	0.25672068447819635	ala_gln_e	import
polaribacter	2015_Central_16	1.1e-06	EX_etoh_e	0.006907212356336557	0.25672068447819635	etoh_e	export
polaribacter	2015_Central_16	1.1e-06	EX_indole_e	0.0005137410539707524	0.25672068447819635	indole_e	export
polaribacter	2015_Central_16	1.1e-06	EX_mobd_e	-0.0001400202226661589	0.25672068447819635	mobd_e	import
polaribacter	2015_Central_16	1.1e-06	EX_fe3dcit_e	0.0006031023735230532	0.25672068447819635	fe3dcit_e	export
polaribacter	2015_Central_16	1.1e-06	EX_orn_e	-0.0007268204494440833	0.25672068447819635	orn_e	import
polaribacter	2015_Central_16	1.1e-06	EX_so4_e	-7.107203428200787e-05	0.25672068447819635	so4_e	import
polaribacter	2015_Central_16	1.1e-06	EX_ala_L_asp__L_e	-3.247499758832975e-05	0.25672068447819635	ala_L_asp__L_e	import
polaribacter	2015_Central_16	1.1e-06	EX_chol_e	0.006957995931825097	0.25672068447819635	chol_e	export
polaribacter	2015_Central_16	1.1e-06	EX_phehpa_e	-0.004998944641597971	0.25672068447819635	phehpa_e	import
polaribacter	2015_Central_16	1.1e-06	EX_galur_e	-0.0006814335432870744	0.25672068447819635	galur_e	import
polaribacter	2015_Central_16	1.1e-06	EX_gthrd_e	-0.006958330386353321	0.25672068447819635	gthrd_e	import
polaribacter	2015_Central_16	1.1e-06	EX_ch4s_e	0.005140220019915636	0.25672068447819635	ch4s_e	export
polaribacter	2015_Central_16	1.1e-06	EX_acglu_e	0.005120498530093196	0.25672068447819635	acglu_e	export
polaribacter	2015_Central_16	1.1e-06	EX_aso3_e	0.006962011758985374	0.25672068447819635	aso3_e	export
polaribacter	2015_Central_16	1.1e-06	EX_fum_e	0.0003692084425237791	0.25672068447819635	fum_e	export
polaribacter	2015_Central_16	1.1e-06	EX_ala_L_glu__L_e	0.0006334283744025809	0.25672068447819635	ala_L_glu__L_e	export
